temp_1,temp_2,temp_3,temp_4,temp_5,temp_6,temp_7,space,temp_8,temp_9,temp_10,temp_11,temp_12,tiempo
"[46.4171142578125, 46.138214111328125, 47.577056884765625, 45.94183349609375, 48.3082275390625, 45.98211669921875, 46.09027099609375, 24.817779541015625, 30.220855712890625, 29.2904052734375]",-0.8264583287276621,,,,,, ,,,,,,2022-04-14 20:47:11
"[47.329315185546875, 47.135955810546875, 48.67706298828125, 46.936553955078125, 49.37939453125, 46.643707275390625, 47.327239990234375, 24.57916259765625, 30.1002197265625, 29.267303466796875]",-0.8566632969172921,,,,,, ,,,,,,2022-04-14 20:48:11
"[47.805877685546875, 47.711334228515625, 49.26129150390625, 47.667022705078125, 49.949066162109375, 47.039642333984375, 48.0389404296875, 24.56402587890625, 29.9359130859375, 28.467376708984375]",-0.8821848291111745,,,,,, ,,,,,,2022-04-14 20:49:11
"[48.20294189453125, 48.0159912109375, 49.646697998046875, 48.278289794921875, 50.24517822265625, 47.406402587890625, 48.3333740234375, 24.833709716796875, 29.880096435546875, 28.384674072265625]",-0.8941427335964414,,,,,, ,,,,,,2022-04-14 20:50:11
"[48.419525146484375, 48.3358154296875, 49.655487060546875, 48.303558349609375, 50.53436279296875, 47.556427001953125, 48.571502685546875, 24.493011474609375, 29.943817138671875, 28.6357421875]",-0.8990602418193667,,,,,, ,,,,,,2022-04-14 20:51:11
"[48.738311767578125, 48.069000244140625, 49.735870361328125, 48.41851806640625, 50.071044921875, 48.011505126953125, 48.309173583984375, 24.949462890625, 29.3865966796875, 28.792449951171875]",-0.9038637777013103,,,,,, ,,,,,,2022-04-14 20:52:11
"[48.711700439453125, 48.43206787109375, 49.79705810546875, 48.399261474609375, 50.52264404296875, 47.878631591796875, 48.619873046875, 24.364349365234375, 29.68060302734375, 28.38555908203125]",-0.9100637811375415,,,,,, ,,,,,,2022-04-14 20:53:11
"[48.8546142578125, 48.28851318359375, 49.872650146484375, 48.372039794921875, 50.1666259765625, 48.078216552734375, 48.5400390625, 24.586395263671875, 29.5833740234375, 28.817474365234375]",-0.9066940908356915,,,,,, ,,,,,,2022-04-14 20:54:11
"[48.8612060546875, 48.63543701171875, 49.7945556640625, 48.862457275390625, 50.58026123046875, 48.094329833984375, 48.742156982421875, 24.9454345703125, 29.26458740234375, 28.53656005859375]",-0.9180383216677689,,,,,, ,,,,,,2022-04-14 20:55:11
"[48.7899169921875, 48.880828857421875, 49.823944091796875, 48.66058349609375, 50.45684814453125, 47.960205078125, 48.850006103515625, 24.690399169921875, 29.861175537109375, 28.328643798828125]",-0.9167581242839183,,,,,, ,,,,,,2022-04-14 20:56:11
"[49.092803955078125, 48.759124755859375, 49.78759765625, 48.7003173828125, 50.799102783203125, 48.295867919921875, 48.83984375, 24.97735595703125, 29.900909423828125, 28.30426025390625]",-0.9193324592169815,,,,,, ,,,,,,2022-04-14 20:57:11
"[48.991455078125, 48.77886962890625, 49.843231201171875, 48.877197265625, 50.06793212890625, 48.29705810546875, 48.5126953125, 25.209320068359375, 29.443572998046875, 28.725494384765625]",-0.9184660243237113,,,,,, ,,,,,,2022-04-14 20:58:11
"[49.224945068359375, 48.997406005859375, 49.89739990234375, 48.79296875, 50.659332275390625, 48.44091796875, 48.92596435546875, 24.9947509765625, 29.918914794921875, 28.835113525390625]",-0.9194004749688577,,,,,, ,,,,,,2022-04-14 20:59:11
